TE_LABEL,WAFER_ID,TYPE,X_UM,Y_UM,COD_ROLL_EVAL,POT_FAILMODE,MAX_PD,MEAN_PD,MIN_DELTA,CURRENT_AT_ROLLOVER,CURRENT_AT_SPD,DV_DI_AT_COD
110M6W,QCHWK,BL LASER,54927,-21449,ROLLOVER,ROLLOVER,46.015371,27.176092452000002,25.057230452000002,208.0,,
110M6X,QCHWK,BL LASER,55184,-21482,ROLLOVER,ROLLOVER,45.747639,26.9375119,24.4474389,208.0,,
110N6V,QCHWK,BL LASER,53901,-21416,ROLLOVER,ROLLOVER,46.409578,27.421979068,25.293261068,207.0,,
110N6W,QCHWK,BL LASER,54157,-21449,ROLLOVER,ROLLOVER,45.951313,27.026261004,25.005950004,207.0,,
110N6X,QCHWK,BL LASER,54414,-21482,ROLLOVER,ROLLOVER,46.113923,27.081574828,25.021843828,207.0,,
118C05,QCHWK,SILC,-55953,-20099,ROLLOVER,ROLLOVER,48.354332,28.926633852,26.623808852,218.0,,
118D05,QCHWK,SILC,-56723,-20099,ROLLOVER,ROLLOVER,48.114523,28.73027286,26.514501860000003,218.0,,
118E05,QCHWK,SILC,-57493,-20099,ROLLOVER,ROLLOVER,47.411521,28.557925628,27.145351628,219.0,,
118H6V,QCHWK,BL LASER,-60059,-7916,ROLLOVER,ROLLOVER,45.724644,27.26821862,25.45322462,209.0,,
118H6W,QCHWK,BL LASER,-59803,-7949,ROLLOVER,ROLLOVER,45.974308,26.858138328000003,23.449891328,209.0,,
118H6X,QCHWK,BL LASER,-59546,-7982,ROLLOVER,ROLLOVER,45.759137,27.018843368000002,24.288961368000006,209.0,,
118I6V,QCHWK,BL LASER,-60829,-7916,ROLLOVER,ROLLOVER,45.599812,27.509736028,25.694742027999993,210.0,,
118I6W,QCHWK,BL LASER,-60573,-7949,ROLLOVER,ROLLOVER,45.78049,27.361783624,25.264274624000006,210.0,,
118I6X,QCHWK,BL LASER,-60316,-7982,ROLLOVER,ROLLOVER,45.589956,27.084524784000003,25.343444784,210.0,,
118J05,QCHWK,SILC,-61343,-20099,ROLLOVER,ROLLOVER,48.833951,28.603587904,26.501150904,214.0,,
118J6V,QCHWK,BL LASER,-61599,-7916,ROLLOVER,ROLLOVER,46.067932,26.959784568,24.632321568,209.0,,
118J6W,QCHWK,BL LASER,-61343,-7949,ROLLOVER,ROLLOVER,45.709861,27.113577848000002,25.089981848000004,210.0,,
118J6X,QCHWK,BL LASER,-61086,-7982,ROLLOVER,ROLLOVER,45.821553,27.055346924000002,25.166438924,210.0,,
